,task-1-epoch-4,task-2-epoch-9,task-3-epoch-14,task-4-epoch-19,task-5-epoch-24
0,6.76242733001709,6.213264465332031,5.980405807495117,5.753967761993408,6.164886474609375
1,6.171906471252441,5.039005279541016,4.500735759735107,4.166049957275391,4.371349334716797
2,5.623142719268799,4.538191795349121,3.860337257385254,3.4779582023620605,3.739961624145508
3,4.339639186859131,3.4509925842285156,3.190725803375244,3.013392448425293,3.542149543762207
4,3.2025461196899414,2.816845655441284,2.5133628845214844,2.515803098678589,2.617960214614868
5,3.0689048767089844,2.2095651626586914,2.074416399002075,2.138026714324951,2.3485536575317383
6,2.083747386932373,1.6466447114944458,1.756103515625,1.7173347473144531,1.9893146753311157
7,1.9850208759307861,1.5849840641021729,1.5410747528076172,1.3434804677963257,1.4477438926696777
8,1.4606659412384033,1.2371035814285278,1.1610386371612549,1.0295324325561523,1.153611421585083
9,0.7957020998001099,0.8985822796821594,0.8737655878067017,0.9030030965805054,0.9317775964736938
10,0.7272858619689941,0.8192989826202393,0.8057566285133362,0.8046514987945557,0.8664824962615967
11,0.6862698793411255,0.7458751201629639,0.7439430952072144,0.7710198760032654,0.7605164647102356
12,0.6460068821907043,0.7175474762916565,0.7148988246917725,0.7065284252166748,0.6935805082321167
13,0.6094967722892761,0.6472575664520264,0.6895291805267334,0.675122082233429,0.6717153787612915
14,0.5831295251846313,0.6280990242958069,0.6170107126235962,0.6274179220199585,0.6342809200286865
15,0.5468478798866272,0.5850552320480347,0.5958540439605713,0.5903209447860718,0.5817338228225708
16,0.5062925815582275,0.568480372428894,0.5299554467201233,0.560688316822052,0.5802422165870667
17,0.4569038152694702,0.512337327003479,0.5269943475723267,0.5159942507743835,0.543888509273529
18,0.4390738010406494,0.4706974923610687,0.4699082374572754,0.49086835980415344,0.5304627418518066
19,0.41027113795280457,0.4632999897003174,0.4583432972431183,0.4607272744178772,0.49829673767089844
