,task-1-epoch-4,task-2-epoch-9,task-3-epoch-14,task-4-epoch-19,task-5-epoch-24
0,0.3932425379753113,0.7509539127349854,1.4201579093933105,1.515044927597046,3.0693917274475098
1,0.2809772491455078,0.6065430045127869,0.9491796493530273,1.2781505584716797,2.5415077209472656
2,0.2508947253227234,0.44594085216522217,0.7559535503387451,1.1922171115875244,1.850264310836792
3,0.2407032996416092,0.4024895131587982,0.6624540090560913,1.023736834526062,1.610489845275879
4,0.18481788039207458,0.381746768951416,0.5888912677764893,0.9126057624816895,1.387073040008545
5,0.17415037751197815,0.32100188732147217,0.5212193727493286,0.7076588273048401,1.2366256713867188
6,0.1471635103225708,0.27436161041259766,0.4679199755191803,0.7054372429847717,0.9387682676315308
7,0.12842819094657898,0.2462770640850067,0.410735547542572,0.7033941745758057,0.871294379234314
8,0.12549999356269836,0.22533190250396729,0.37278735637664795,0.4814756512641907,0.8233451843261719
9,0.11362126469612122,0.2064986377954483,0.28319641947746277,0.4552202820777893,0.7129104137420654
10,0.10799083113670349,0.19329676032066345,0.27456754446029663,0.4073684811592102,0.6296970248222351
11,0.10157036781311035,0.1877266764640808,0.2735617458820343,0.39634037017822266,0.5857120752334595
12,0.09002094715833664,0.17166441679000854,0.2586132287979126,0.37926045060157776,0.5486102104187012
13,0.08547571301460266,0.15612848103046417,0.2555122673511505,0.35581791400909424,0.516587495803833
14,0.08454126119613647,0.15353773534297943,0.22744238376617432,0.3543446660041809,0.4840712547302246
15,0.08349840342998505,0.1437811255455017,0.22402620315551758,0.33609944581985474,0.4595174789428711
16,0.07741573452949524,0.1412498950958252,0.21463409066200256,0.30781668424606323,0.4143962264060974
17,0.07466094195842743,0.14037200808525085,0.20900818705558777,0.30204638838768005,0.39220380783081055
18,0.07215715944766998,0.13328132033348083,0.19818976521492004,0.2985523045063019,0.3910149335861206
19,0.07055298984050751,0.13125690817832947,0.18772689998149872,0.29105421900749207,0.35069555044174194
