,task-1-epoch-4,task-2-epoch-9,task-3-epoch-14,task-4-epoch-19,task-5-epoch-24
0,6.76242733001709,7.595835208892822,6.999305725097656,6.519620895385742,7.280580997467041
1,6.171906471252441,6.018964767456055,6.388327598571777,5.896624565124512,6.421985626220703
2,5.623142719268799,5.216370582580566,5.426375389099121,4.756324291229248,4.378457069396973
3,4.339639186859131,4.244297981262207,3.8493404388427734,3.6551733016967773,3.6561646461486816
4,3.2025461196899414,3.467082977294922,3.485232353210449,3.4660117626190186,3.1134800910949707
5,3.0689048767089844,2.904895782470703,2.955379009246826,2.8861162662506104,2.782809257507324
6,2.083747386932373,2.074577808380127,2.1692306995391846,1.9988287687301636,1.8480005264282227
7,1.9850208759307861,1.9602147340774536,1.8074069023132324,1.8784997463226318,1.6913256645202637
8,1.4606659412384033,1.3615373373031616,1.4412775039672852,1.4298486709594727,1.3434336185455322
9,0.7957020998001099,1.0909318923950195,1.214552879333496,1.1655168533325195,1.3268773555755615
10,0.7272858619689941,0.963775634765625,1.0399818420410156,1.1261603832244873,1.233546257019043
11,0.6862698793411255,0.9167671203613281,1.0314557552337646,1.0411231517791748,1.1213726997375488
12,0.6460068821907043,0.8840100765228271,0.9430718421936035,1.0053215026855469,1.0522196292877197
13,0.6094967722892761,0.8224086165428162,0.9243754744529724,0.8940935134887695,0.915785551071167
14,0.5831295251846313,0.7584503889083862,0.8598467111587524,0.8573192954063416,0.9026985764503479
15,0.5468478798866272,0.7223645448684692,0.8001444339752197,0.819979727268219,0.8725662231445312
16,0.5062925815582275,0.6854931712150574,0.7630422711372375,0.7329131960868835,0.8145583868026733
17,0.4569038152694702,0.6304633617401123,0.7305765748023987,0.6866027116775513,0.7475954294204712
18,0.4390738010406494,0.5911977291107178,0.681618869304657,0.6735769510269165,0.6858186721801758
19,0.41027113795280457,0.5443341732025146,0.6741577982902527,0.6315561532974243,0.6571191549301147
