,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,95.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,92.08,96.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,85.94,90.65,96.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,76.25,89.9,92.92,96.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,66.04,74.74,87.05,93.35,97.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,57.27,64.64,78.23,90.1,95.24,96.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,43.47,53.83,70.42,82.2,91.27,93.62,96.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,34.4,53.13,55.75,72.39,81.42,86.94,94.03,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,33.85,43.46,56.03,60.49,76.51,83.78,90.72,93.93,96.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,26.75,39.22,47.93,54.0,58.2,83.73,81.86,87.03,92.08,96.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,21.12,36.0,39.31,44.52,49.91,66.18,75.73,78.19,84.76,94.22,96.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,18.06,26.28,34.62,41.69,37.31,56.31,61.95,61.83,69.37,82.63,91.85,96.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,22.15,24.18,29.28,34.94,42.89,42.52,48.27,41.99,57.92,70.45,84.32,93.16,95.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,17.8,25.21,28.24,25.72,34.45,23.39,37.95,37.58,50.31,54.45,73.23,81.28,91.76,96.18,0.0,0.0,0.0,0.0,0.0,0.0
14,19.77,25.54,20.07,24.56,30.08,26.4,40.21,41.28,49.63,48.74,71.1,71.17,82.5,92.07,96.29,0.0,0.0,0.0,0.0,0.0
15,13.27,20.9,20.57,22.57,27.91,20.04,32.79,23.94,45.65,41.9,55.39,67.13,67.83,87.04,91.85,96.15,0.0,0.0,0.0,0.0
16,16.9,18.78,21.47,17.31,21.61,15.59,24.83,18.05,37.13,33.82,43.0,56.63,53.04,67.73,82.28,91.67,95.81,0.0,0.0,0.0
17,17.76,14.23,23.07,18.73,20.77,16.12,27.06,18.91,32.21,24.26,28.29,43.61,56.63,66.82,70.62,77.23,91.49,95.77,0.0,0.0
18,16.0,12.11,21.69,16.28,21.76,17.33,27.46,14.44,29.91,23.76,24.37,36.48,40.29,48.37,62.2,71.36,83.99,84.9,95.08,0.0
19,15.45,13.74,22.52,23.58,26.39,17.68,31.79,24.92,34.09,27.93,29.9,37.81,35.32,49.44,49.6,53.14,72.71,72.94,86.48,95.98
