,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,95.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,93.61,95.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,91.44,92.88,95.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,89.29,89.49,94.04,95.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,83.49,85.44,90.18,92.62,95.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,86.17,83.2,92.05,92.23,93.63,95.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,81.74,81.79,89.43,90.02,91.7,94.4,95.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,81.23,79.29,87.47,86.9,91.37,92.53,93.6,95.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,78.43,69.18,78.34,78.13,88.32,89.46,92.36,93.4,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,80.09,74.0,81.4,77.09,87.28,90.38,90.6,91.26,93.36,95.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,77.61,74.25,80.35,76.0,84.26,89.47,89.25,89.33,92.13,93.84,94.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,79.83,78.61,84.72,81.47,84.11,89.19,89.54,87.52,90.89,92.6,92.75,94.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,75.34,78.85,79.57,82.02,85.09,88.07,87.67,83.68,91.36,90.63,90.27,92.32,94.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,76.98,75.95,76.72,78.91,78.54,81.2,86.44,86.93,89.35,88.48,90.07,92.51,91.74,93.74,0.0,0.0,0.0,0.0,0.0,0.0
14,76.78,75.22,76.1,79.28,76.03,79.31,86.38,83.68,84.42,86.19,87.77,91.92,91.32,91.97,93.27,0.0,0.0,0.0,0.0,0.0
15,74.39,78.18,74.44,79.65,80.16,78.18,83.02,78.44,82.11,80.78,84.34,91.61,90.97,90.59,90.6,92.08,0.0,0.0,0.0,0.0
16,76.48,80.99,72.58,77.32,74.52,73.82,78.74,72.24,77.88,78.96,77.92,90.86,87.98,88.22,88.95,90.23,91.86,0.0,0.0,0.0
17,72.6,78.28,70.75,71.25,77.04,75.82,81.01,67.96,77.51,78.76,75.42,89.63,87.75,84.12,86.42,88.64,90.6,91.49,0.0,0.0
18,70.62,78.02,71.52,72.79,76.71,71.62,77.98,67.71,75.3,72.02,75.09,88.26,79.87,80.68,85.29,85.62,88.87,90.05,90.8,0.0
19,73.36,79.59,73.34,79.56,77.24,74.75,79.95,71.6,80.52,81.08,77.37,88.11,82.87,83.59,82.77,85.91,88.48,88.58,87.84,89.14
